Features,Algoritmo,Parametro,Checks,Eficiencia,Efectividad
DeepNet,kdTreeResults,10,1,0.004494088174344691,0.06178909212116162
DeepNet,kdTreeResults,30,1,0.010694864202918175,0.06170576225990584
DeepNet,kdTreeResults,50,1,0.026444621413540856,0.06333069455439357
DeepNet,kdTreeResults,10,1000,0.1554273016900975,0.9463772342819049
DeepNet,kdTreeResults,30,1000,0.24374583985064263,0.9609391275363527
DeepNet,kdTreeResults,50,1000,0.29042160146189955,0.9664180659139202
DeepNet,kdTreeResults,10,125,0.021050322754394443,0.6311403691512854
DeepNet,kdTreeResults,30,125,0.03159400385819432,0.663618182575726
DeepNet,kdTreeResults,50,125,0.03702871242373614,0.6786592225323945
DeepNet,kdTreeResults,10,25,0.006816000483396082,0.34217324278155076
DeepNet,kdTreeResults,30,25,0.011396314393193455,0.3664013999416691
DeepNet,kdTreeResults,50,25,0.01692893868469526,0.36529727928003
DeepNet,kdTreeResults,10,5,0.003810520674715187,0.1625557268447148
DeepNet,kdTreeResults,30,5,0.009706783363938471,0.16145160618307572
DeepNet,kdTreeResults,50,5,0.016436116501298222,0.16580559143369025
DeepNet,kdTreeResults,10,625,0.09177455720823492,0.8994208574642724
DeepNet,kdTreeResults,30,625,0.14020490873208688,0.9187325528102995
DeepNet,kdTreeResults,50,625,0.19868800744228546,0.9238156743469023
DeepNet,KmeansResults,25,1,0.0036965140803626086,0.30744552310320405
DeepNet,KmeansResults,50,1,0.004845863998112384,0.3394858547560518
DeepNet,KmeansResults,75,1,0.005854086340493293,0.34850631223699013
DeepNet,KmeansResults,25,1000,0.1246805455025698,0.9905837256780967
DeepNet,KmeansResults,50,1000,0.061229566297595954,0.9601266613891087
DeepNet,KmeansResults,75,1000,0.08257573261114673,0.9799591683679847
DeepNet,KmeansResults,25,125,0.026286392849019107,0.8343402358235074
DeepNet,KmeansResults,50,125,0.012766723401951903,0.677325944752302
DeepNet,KmeansResults,75,125,0.023403401603487018,0.7860297487604683
DeepNet,KmeansResults,25,25,0.008190409367325938,0.559747510520395
DeepNet,KmeansResults,50,25,0.007181912921824145,0.44104412316153496
DeepNet,KmeansResults,75,25,0.009365057987936498,0.4980625807258031
DeepNet,KmeansResults,25,5,0.004340625958536076,0.34348568809632934
DeepNet,KmeansResults,50,5,0.005468626288759274,0.3616724303154035
DeepNet,KmeansResults,75,5,0.006018192894162877,0.3705053956085163
DeepNet,KmeansResults,25,625,0.0873744813283695,0.9754176909295446
DeepNet,KmeansResults,50,625,0.04009216504248385,0.9248781300779134
DeepNet,KmeansResults,75,625,0.06327731964994311,0.9651472855297696
MEL,kdTreeResults,10,1,0.004300940916168255,0.05774759385025624
MEL,kdTreeResults,30,1,0.011464635436523353,0.05812257822590725
MEL,kdTreeResults,50,1,0.02053765567893932,0.057205949752093664
MEL,kdTreeResults,10,1000,0.19186931458066603,0.9927294696054331
MEL,kdTreeResults,30,1000,0.3285406355791139,0.9943544018999209
MEL,kdTreeResults,50,1000,0.3582066801241504,0.9961043289862922
MEL,kdTreeResults,10,125,0.026507611373164826,0.830298737552602
MEL,kdTreeResults,30,125,0.04301116375010648,0.858443398191742
MEL,kdTreeResults,50,125,0.0454811022247142,0.8661930752885296
MEL,kdTreeResults,10,25,0.007483227790167175,0.5022290737885922
MEL,kdTreeResults,30,25,0.011904611776164304,0.543394025248948
MEL,kdTreeResults,50,25,0.01811833925547206,0.5409149618765885
MEL,kdTreeResults,10,5,0.0038393729884012274,0.2098870880379984
MEL,kdTreeResults,30,5,0.010635594822997434,0.21030373734427732
MEL,kdTreeResults,50,5,0.017096023235004282,0.2113036956793467
MEL,kdTreeResults,10,625,0.11778837270986636,0.9808341319111704
MEL,kdTreeResults,30,625,0.18515341712741734,0.9875213532769468
MEL,kdTreeResults,50,625,0.20820548985583248,0.9896462647389692
MEL,KmeansResults,25,1,0.0040216326735299434,0.27588433815257696
MEL,KmeansResults,50,1,0.005638763836869195,0.32465313945252283
MEL,KmeansResults,75,1,0.0059390788048256015,0.31550768717970085
MEL,KmeansResults,25,1000,0.1272462036784729,0.9841881588267155
MEL,KmeansResults,50,1000,0.06883950772435803,0.9727094704387317
MEL,KmeansResults,75,1000,0.07764207967064007,0.9777300945793925
MEL,KmeansResults,25,125,0.019460077373482636,0.7790092079496688
MEL,KmeansResults,50,125,0.01360033206673478,0.6838465063955669
MEL,KmeansResults,75,125,0.015569942160210116,0.7232198658389234
MEL,KmeansResults,25,25,0.00625775653152187,0.5018332569476271
MEL,KmeansResults,50,25,0.005693948784627292,0.40642056580975794
MEL,KmeansResults,75,25,0.007226869370770998,0.44929377942585724
MEL,KmeansResults,25,5,0.004287967595700292,0.32029915420190824
MEL,KmeansResults,50,5,0.005400289652097259,0.351214532727803
MEL,KmeansResults,75,5,0.005694639986127634,0.33554851881171616
MEL,KmeansResults,25,625,0.0784274537502213,0.9657097620932461
MEL,KmeansResults,50,625,0.04928345968102017,0.9397733427773842
MEL,KmeansResults,75,625,0.05072729744442745,0.9472313653597767
SIFT,kdTreeResults,10,1,0.004225673385387456,0.09049622932377818
SIFT,kdTreeResults,30,1,0.010945927253849944,0.08939210866213908
SIFT,kdTreeResults,50,1,0.016709312200837767,0.09710012082829882
SIFT,kdTreeResults,10,1000,0.1734206992000741,0.9894796050164576
SIFT,kdTreeResults,30,1000,0.2893017119619279,0.9918128411316195
SIFT,kdTreeResults,50,1000,0.32816227941118786,0.9918128411316195
SIFT,kdTreeResults,10,125,0.023758154248554823,0.8552560309987084
SIFT,kdTreeResults,30,125,0.03691026374667828,0.8810674555226865
SIFT,kdTreeResults,50,125,0.08970613027243177,0.8902129077955085
SIFT,kdTreeResults,10,25,0.0072511695799061075,0.5604141494104412
SIFT,kdTreeResults,30,25,0.013571440391795447,0.6220574142744052
SIFT,kdTreeResults,50,25,0.01726098753990073,0.6207658014249406
SIFT,kdTreeResults,10,5,0.0035933998472966622,0.2788842131577851
SIFT,kdTreeResults,30,5,0.010312406876708397,0.282363234865214
SIFT,kdTreeResults,50,5,0.019424262995984144,0.27559268363818173
SIFT,kdTreeResults,10,625,0.10602879622817701,0.9761259947502188
SIFT,kdTreeResults,30,625,0.17058157876031707,0.9841048289654598
SIFT,kdTreeResults,50,625,0.20668870350381324,0.9861255781009125
SIFT,KmeansResults,25,1,0.003971114455453645,0.3719845006458064
SIFT,KmeansResults,50,1,0.005029413976282725,0.4233990250406233
SIFT,KmeansResults,75,1,0.005589550355441066,0.42121161618265907
SIFT,KmeansResults,25,1000,0.13087289877479918,0.9848547977167618
SIFT,KmeansResults,50,1000,0.06728974949698413,0.9731886171409525
SIFT,KmeansResults,75,1000,0.07937296376810403,0.987833840256656
SIFT,KmeansResults,25,125,0.023106523170337557,0.8780050831215366
SIFT,KmeansResults,50,125,0.012785121587014003,0.7750302070747053
SIFT,KmeansResults,75,125,0.01853699389171608,0.8540894129411275
SIFT,KmeansResults,25,25,0.006657776073538004,0.6294946043914836
SIFT,KmeansResults,50,25,0.005481885560832887,0.5429357110120412
SIFT,KmeansResults,75,25,0.007600245702006311,0.6095579350860381
SIFT,KmeansResults,25,5,0.003936707519469453,0.44266905545602264
SIFT,KmeansResults,50,5,0.004376036353091643,0.4308987125536436
SIFT,KmeansResults,75,5,0.0055055949088524524,0.4360443314861881
SIFT,KmeansResults,25,625,0.09067570530859094,0.9756051831173701
SIFT,KmeansResults,50,625,0.048838525518023916,0.9476063497354277
SIFT,KmeansResults,75,625,0.05453046707255499,0.9741677430107079

